employer,rating,employer_industry
Accenture,"3,9",Consultoria empresarial
IBM,"4,0",Serviços de apoio à tecnologia da informação
Deloitte,"3,9",Consultoria empresarial
Itaú Unibanco (Itaú BBA e Rede),"4,4",Serviços bancários e de crédito
McDonald's,"3,5",Restaurantes e cafés
Amazon,"3,7",Internet e serviços Web
EY,"3,8",Contabilidade e serviços fiscais
Teleperformance,"4,3",Serviços de telecomunicações
Capgemini,"3,9",Soluções de software e redes corporativas
KPMG,"3,7",Consultoria empresarial
PwC,"3,8",Contabilidade e serviços fiscais
Tata Consultancy Services,"3,7",Desenvolvimento de software
Santander,"3,9",Serviços bancários e de crédito
Concentrix,"4,0",Serviços de apoio à tecnologia da informação
Banco Bradesco,"4,1",Serviços bancários e de crédito
Google,"4,3",Internet e serviços Web
Vivo (Telefônica Brasil),"4,5",Serviços de telecomunicações
Cognizant Technology Solutions,"3,7",Serviços de apoio à tecnologia da informação
Ambev,"4,3",Produção de alimentos e bebidas
americanas s.a.,"3,8",Outras lojas varejistas
Dell Technologies,"4,0",Serviços de apoio à tecnologia da informação
Wipro,"3,6",Serviços de apoio à tecnologia da informação
Atento,"3,5",Consultoria de RH
Oracle,"3,8",Soluções de software e redes corporativas
Microsoft,"4,2",Desenvolvimento de hardware
Nestlé,"4,4",Produção de alimentos e bebidas
SAP,"4,2",Soluções de software e redes corporativas
Carrefour,"3,7",Hipermercados e lojas em geral
Unilever,"4,1",Produção de bens de consumo
PepsiCo,"4,2",Produção de alimentos e bebidas
Robert Bosch,"4,4",Desenvolvimento de hardware
Infosys,"3,7",Serviços de apoio à tecnologia da informação
Stone,"4,0",Processamento de transações financeiras
Unimed,"4,2",Serviços de saúde e hospitais
Stefanini,"3,7",Soluções de software e redes corporativas
Vale,"4,3",Mineração e extração
Raia Drogasil,"3,6",Estabelecimentos de cuidados de enfermagem
Freelancer,"4,2",Consultoria de RH
Johnson & Johnson,"4,1",Biotecnologia e farmacêutica
Procter & Gamble,"4,1",Produção de bens de consumo
GE,"4,0",Fabricação de máquinas
FedEx,"3,9",Entrega de mercadorias
General Motors (GM),"3,8",Produção de equipamentos de transporte
Claro,"4,1","Provedores de serviços telefônicos, de TV a cabo e Internet"
Siemens,"4,2",Fabricação de produtos eletrônicos
NTT DATA,"3,8",Serviços de apoio à tecnologia da informação
Starbucks,"3,6",Restaurantes e cafés
UnitedHealth Group,"4,0",Serviços de saúde e hospitais
BRF,"3,8",Produção agrícola
Ford Motor Company,"4,1",Produção de equipamentos de transporte
